Hersteller;Name;"Vorn/hinten";Lochzahl;DSL;D2L;D2R;AL;AR
Sturmey Archer;SRF 3;h;36;2.5;67;67;26;26
Sturmey Archer;SRF 5;h;36;2.5;67;67;28;23
Sturmey Archer;Steelite, Trommelbremsnabe VR;v;36;4;83;83;26;30
Sturmey Archer;Steellite, 100 mm, 90 mm Durchmesser;v;36;2.5;99;49;30;32
Sturmey Archer;TB Elite, Alu, hinten;h;36;2.5;90;90;41;18
SUNTOUR;Edge, 100 mm;v;36;2.5;35;35;34;34
SUNTOUR;ID, 100 mm;v;36;2.5;38;38;33;33
SUNTOUR;XC Pro, 100 mm;v;36;2.5;38;38;33;33
SUNTOUR;XC pro, 135 mm;h;36;2.5;45;45;34;20
SURLY;New Hub Flip-Flop fixed/free 130 mm;h;32;2.5;54;54;33;31
SURLY;Single Speed, 135 mm;h;32;2.5;54;54;39;39
SURLY;Singlespeed, Disc, 135 mm;h;32;2.5;58;58;35;38
SURLY;Track, 100 mm;v;32;2.5;54;54;33;33
SURLY;Track, Flip-Flop, 120 mm;h;32;2.5;54;54;30;30
TUNE;Kong, 131 mm, 8/9-fach;h;36;2.5;41;54;36;21
TUNE;MAG 180, 135 mm;h;32;2.5;41;54;37;20
WHITE INDUSTRIES;Eno, 100 mm;v;32;2.5;39;39;36;36
WHITE INDUSTRIES;Eno, 130 mm;h;36;2.5;48;48;32;32
WHITE INDUSTRIES;H-3 - Road, 130 mm;h;36;2.5;40;54;41;18
WHITE INDUSTRIES;MI5, 100 mm;v;36;2.5;39;39;36;36
WHITE INDUSTRIES;MI5, 135 mm;h;32;2.5;55;55;35;21
WHITE INDUSTRIES;Scheibenbremsnabe HF, Mag., 100 mm;v;36;2.5;74;74;26;34
