Name;lochzahl;speichenlochDM;lochkreisDML;lochkreisDMR;abstandL;abstandR
SRAM P5 Cargo;36;3;75;75;29;27
SRAM S7;36;2.5;75;75;38;30
SRAM T3;36;3.2;58;58;26;24
SRAM Torpedo singlespeed 130mm;32;2.5;67;67;29;29
Sturmey Archer Nabendynamo m. Trommelbr. X-FDD;36;2.5;89;89;30;28
Sturmey Archer S2 Kick Shift 120mm;36;2.5;67;67;27;25
Sturmey Archer SAB 3 Trommelbremsnabe hinten, 3- Gang;36;2.9;84;65;38;28
Sturmey Archer SPRINTER COASTER, 5 Gang, rücktritt;36;2.5;65;65;29;28
Sturmey Archer SRF 3;36;2.5;67;67;26;26
Sturmey Archer SRF 5;36;2.5;67;67;28;23
Sturmey Archer Steelite, Trommelbremsnabe VR;36;4;83;83;26;30
Sturmey Archer Steellite, 100 mm, 90 mm Durchmesser;36;2.5;99;49;30;32
Sturmey Archer TB Elite, Alu, hinten;36;2.5;90;90;41;18
SUNTOUR Edge, 100 mm;36;2.5;35;35;34;34
SUNTOUR ID, 100 mm;36;2.5;38;38;33;33
SUNTOUR XC Pro, 100 mm;36;2.5;38;38;33;33
SUNTOUR XC pro, 135 mm;36;2.5;45;45;34;20
SURLY New Hub Flip-Flop fixed/free 130 mm;32;2.5;54;54;33;31
SURLY Single Speed, 135 mm;32;2.5;54;54;39;39
SURLY Singlespeed, Disc, 135 mm;32;2.5;58;58;35;38
SURLY Track, 100 mm;32;2.5;54;54;33;33
SURLY Track, Flip-Flop, 120 mm;32;2.5;54;54;30;30
TUNE Kong, 131 mm, 8/9-fach;36;2.5;41;54;36;21
TUNE MAG 180, 135 mm;32;2.5;41;54;37;20
WHITE INDUSTRIES Eno, 100 mm;32;2.5;39;39;36;36
WHITE INDUSTRIES Eno, 130 mm;36;2.5;48;48;32;32
WHITE INDUSTRIES H-3 - Road, 130 mm;36;2.5;40;54;41;18
WHITE INDUSTRIES MI5, 100 mm;36;2.5;39;39;36;36
WHITE INDUSTRIES MI5, 135 mm;32;2.5;55;55;35;21
WHITE INDUSTRIES Scheibenbremsnabe HF, Mag., 100 mm;36;2.5;74;74;26;34
